nombre,primero,puntos,puntos_maximos,share,award,año,Clave Join
"Paul,Chris",2.0,19.0,605,0.031,Defensive Player of the Year,2013,ChrisPaul
"Bradley,Avery",2.0,15.0,605,0.025,Defensive Player of the Year,2013,AveryBradley
"Chandler,Tyson",0.0,11.0,605,0.018,Defensive Player of the Year,2013,TysonChandler
"Howard,Dwight",1.0,9.0,605,0.015,Defensive Player of the Year,2013,DwightHoward
"Deng,Luol",1.0,6.0,605,0.010,Defensive Player of the Year,2013,LuolDeng
"Wade,Dwyane",0.0,4.0,605,0.007,Defensive Player of the Year,2013,DwyaneWade
"Ariza,Trevor",0.0,3.0,605,0.005,Defensive Player of the Year,2013,TrevorAriza
"Butler,Jimmy",0.0,3.0,605,0.005,Defensive Player of the Year,2013,JimmyButler
"Faried,Kenneth",0.0,3.0,605,0.005,Defensive Player of the Year,2013,KennethFaried
"Westbrook,Russell",0.0,3.0,605,0.005,Defensive Player of the Year,2013,RussellWestbrook
"Conley,Mike",0.0,1.0,605,0.002,Defensive Player of the Year,2013,MikeConley
"Smith,J.R.",72.0,484.0,605,0.800,Sixth Man of the Year,2013,JRSmith
"Crawford,Jamal",31.0,352.0,605,0.582,Sixth Man of the Year,2013,JamalCrawford
"Jack,Jarrett",14.0,170.0,605,0.281,Sixth Man of the Year,2013,JarrettJack
"Martin,Kevin",2.0,31.0,605,0.051,Sixth Man of the Year,2013,KevinMartin
"Anderson,Ryan",1.0,11.0,605,0.018,Sixth Man of the Year,2013,RyanAnderson
"Miller,Andre",0.0,7.0,605,0.012,Sixth Man of the Year,2013,AndreMiller
"Crawford,Jordan",1.0,5.0,605,0.008,Sixth Man of the Year,2013,JordanCrawford
"Brewer,Corey",0.0,4.0,605,0.007,Sixth Man of the Year,2013,CoreyBrewer
"Ginóbili,Manu",0.0,4.0,605,0.007,Sixth Man of the Year,2013,ManuGinobili
"Landry,Carl",0.0,4.0,605,0.007,Sixth Man of the Year,2013,CarlLandry
"Robinson,Nate",0.0,4.0,605,0.007,Sixth Man of the Year,2013,NateRobinson
"Battier,Shane",0.0,2.0,605,0.003,Sixth Man of the Year,2013,ShaneBattier
"Sessions,Ramon",0.0,2.0,605,0.003,Sixth Man of the Year,2013,RamonSessions
"Babbitt,Luke",0.0,1.0,605,0.002,Sixth Man of the Year,2013,LukeBabbitt
"Carter,Vince",0.0,1.0,605,0.002,Sixth Man of the Year,2013,VinceCarter
"Hayward,Gordon",0.0,1.0,605,0.002,Sixth Man of the Year,2013,GordonHayward
"Redick,J.J.",0.0,1.0,605,0.002,Sixth Man of the Year,2013,JJRedick
"George,Paul",52.0,311.0,600,0.518,Most Improved Player,2013,PaulGeorge
"Vásquez,Greivis",13.0,146.0,600,0.243,Most Improved Player,2013,GreivisVasquez
"Sanders,Larry",10.0,141.0,600,0.235,Most Improved Player,2013,LarrySanders
"Vučević,Nikola",10.0,109.0,600,0.182,Most Improved Player,2013,NikolaVucevic
"Holiday,Jrue",10.0,102.0,600,0.170,Most Improved Player,2013,ueHoliday
"Aşık,Ömer",9.0,86.0,600,0.143,Most Improved Player,2013,OmerAsik
"Harden,James",8.0,53.0,600,0.088,Most Improved Player,2013,JamesHarden
"Curry,Stephen",1.0,18.0,600,0.030,Most Improved Player,2013,StephenCurry
"Ibaka,Serge",1.0,15.0,600,0.025,Most Improved Player,2013,SergeIbaka
"Parsons,Chandler",0.0,14.0,600,0.023,Most Improved Player,2013,ChandlerParsons
"Walker,Kemba",0.0,9.0,600,0.015,Most Improved Player,2013,KembaWalker
"Smith,J.R.",1.0,8.0,600,0.013,Most Improved Player,2013,JRSmith
"Thompson,Klay",1.0,8.0,600,0.013,Most Improved Player,2013,KlayThompson
"Butler,Jimmy",0.0,7.0,600,0.012,Most Improved Player,2013,JimmyButler
"Anderson,Ryan",1.0,5.0,600,0.008,Most Improved Player,2013,RyanAnderson
"Anthony,Carmelo",1.0,5.0,600,0.008,Most Improved Player,2013,CarmeloAnthony
"Blatche,Andray",1.0,5.0,600,0.008,Most Improved Player,2013,AndrayBlatche
"Conley,Mike",1.0,5.0,600,0.008,Most Improved Player,2013,MikeConley
"Leonard,Kawhi",0.0,5.0,600,0.008,Most Improved Player,2013,KawhiLeonard
"Durant,Kevin",0.0,4.0,600,0.007,Most Improved Player,2013,KevinDurant
"Afflalo,Arron",0.0,3.0,600,0.005,Most Improved Player,2013,ArronAfflalo
"Clark,Earl",0.0,3.0,600,0.005,Most Improved Player,2013,EarlClark
"Faried,Kenneth",0.0,3.0,600,0.005,Most Improved Player,2013,KennethFaried
"Monroe,Greg",0.0,3.0,600,0.005,Most Improved Player,2013,GregMonroe
"Noah,Joakim",0.0,3.0,600,0.005,Most Improved Player,2013,JoakimNoah
"Thompson,Tristan",0.0,2.0,600,0.003,Most Improved Player,2013,TristanThompson
"Harris,Tobias",0.0,1.0,600,0.002,Most Improved Player,2013,TobiasHarris
"Jack,Jarrett",0.0,1.0,600,0.002,Most Improved Player,2013,JarrettJack
"Lawson,Ty",0.0,1.0,600,0.002,Most Improved Player,2013,TyLawson
"Lopez,Brook",0.0,1.0,600,0.002,Most Improved Player,2013,BrookLopez
"Lopez,Robin",0.0,1.0,600,0.002,Most Improved Player,2013,RobinLopez
"Stephenson,Lance",0.0,1.0,600,0.002,Most Improved Player,2013,LanceStephenson
"Teague,Jeff",0.0,1.0,600,0.002,Most Improved Player,2013,JeffTeague
"Durant,Kevin",119.0,1232.0,1250,0.986,Most Valuable Player,2014,KevinDurant
"James,LeBron",6.0,891.0,1250,0.713,Most Valuable Player,2014,LeBronJames
"Griffin,Blake",0.0,434.0,1250,0.347,Most Valuable Player,2014,BlakeGriffin
"Noah,Joakim",0.0,322.0,1250,0.258,Most Valuable Player,2014,JoakimNoah
"Harden,James",0.0,85.0,1250,0.068,Most Valuable Player,2014,JamesHarden
"Curry,Stephen",0.0,66.0,1250,0.053,Most Valuable Player,2014,StephenCurry
"Paul,Chris",0.0,45.0,1250,0.036,Most Valuable Player,2014,ChrisPaul
"Jefferson,Al",0.0,34.0,1250,0.027,Most Valuable Player,2014,AlJefferson
"George,Paul",0.0,33.0,1250,0.026,Most Valuable Player,2014,PaulGeorge
"Aldridge,LaMarcus",0.0,26.0,1250,0.021,Most Valuable Player,2014,LaMarcusAldridge
"Love,Kevin",0.0,25.0,1250,0.020,Most Valuable Player,2014,KevinLove
"Duncan,Tim",0.0,21.0,1250,0.017,Most Valuable Player,2014,TimDuncan
"Parker,Tony",0.0,21.0,1250,0.017,Most Valuable Player,2014,TonyParker
"Nowitzki,Dirk",0.0,7.0,1250,0.006,Most Valuable Player,2014,DirkNowitzki
"Anthony,Carmelo",0.0,4.0,1250,0.003,Most Valuable Player,2014,CarmeloAnthony
"Dragić,Goran",0.0,3.0,1250,0.002,Most Valuable Player,2014,GoranDragic
"Conley,Mike",0.0,1.0,1250,0.001,Most Valuable Player,2014,MikeConley
"Carter-Williams,Michael",104.0,569.0,620,0.918,Rookie of the Year,2014,MichaelCarterWilliams
"Oladipo,Victor",16.0,364.0,620,0.587,Rookie of the Year,2014,VictorOladipo
"Burke,Trey",1.0,96.0,620,0.155,Rookie of the Year,2014,TreyBurke
"Plumlee,Mason",2.0,58.0,620,0.094,Rookie of the Year,2014,MasonPlumlee
"Hardaway,Tim",1.0,23.0,620,0.037,Rookie of the Year,2014,TimHardaway
"Dieng,Gorgui",0.0,3.0,620,0.005,Rookie of the Year,2014,GorguiDieng
"Adams,Steven",0.0,1.0,620,0.002,Rookie of the Year,2014,StevenAdams
"Antetokounmpo,Giannis",0.0,1.0,620,0.002,Rookie of the Year,2014,GiannisAntetokounmpo
"Calathes,Nick",0.0,1.0,620,0.002,Rookie of the Year,2014,NickCalathes
"Noah,Joakim",100.0,555.0,625,0.888,Defensive Player of the Year,2014,JoakimNoah
"Hibbert,Roy",8.0,166.0,625,0.266,Defensive Player of the Year,2014,RoyHibbert
"Jordan,DeAndre",8.0,121.0,625,0.194,Defensive Player of the Year,2014,DeAndreJordan
"Ibaka,Serge",2.0,79.0,625,0.126,Defensive Player of the Year,2014,SergeIbaka
"Iguodala,Andre",1.0,47.0,625,0.075,Defensive Player of the Year,2014,AndreIguodala
"James,LeBron",2.0,31.0,625,0.050,Defensive Player of the Year,2014,LeBronJames
"George,Paul",0.0,30.0,625,0.048,Defensive Player of the Year,2014,PaulGeorge
"Davis,Anthony",1.0,25.0,625,0.040,Defensive Player of the Year,2014,AnthonyDavis
"Howard,Dwight",1.0,25.0,625,0.040,Defensive Player of the Year,2014,DwightHoward
"Bogut,Andrew",1.0,11.0,625,0.018,Defensive Player of the Year,2014,AndrewBogut
"Leonard,Kawhi",0.0,9.0,625,0.014,Defensive Player of the Year,2014,KawhiLeonard
"Tucker,P.J.",1.0,6.0,625,0.010,Defensive Player of the Year,2014,PJTucker
"Duncan,Tim",0.0,5.0,625,0.008,Defensive Player of the Year,2014,TimDuncan
"Paul,Chris",0.0,5.0,625,0.008,Defensive Player of the Year,2014,ChrisPaul
"Ariza,Trevor",0.0,4.0,625,0.006,Defensive Player of the Year,2014,TrevorAriza
"Gasol,Marc",0.0,4.0,625,0.006,Defensive Player of the Year,2014,MarcGasol
"Beverley,Patrick",0.0,2.0,625,0.003,Defensive Player of the Year,2014,PatrickBeverley
"Crawford,Jamal",57.0,421.0,625,0.674,Sixth Man of the Year,2014,JamalCrawford
"Gibson,Taj",49.0,395.0,625,0.632,Sixth Man of the Year,2014,TajGibson
"Ginóbili,Manu",9.0,138.0,625,0.221,Sixth Man of the Year,2014,ManuGinobili
"Morris,Markieff",5.0,85.0,625,0.136,Sixth Man of the Year,2014,MarkieffMorris
"Jackson,Reggie",4.0,49.0,625,0.078,Sixth Man of the Year,2014,ReggieJackson
"Carter,Vince",1.0,12.0,625,0.019,Sixth Man of the Year,2014,VinceCarter
"Augustin,D.J.",0.0,6.0,625,0.010,Sixth Man of the Year,2014,DJAugustin
"Kanter,Enes",0.0,3.0,625,0.005,Sixth Man of the Year,2014,EnesKanter
"Waiters,Dion",0.0,3.0,625,0.005,Sixth Man of the Year,2014,DionWaiters
"Young,Nick",0.0,3.0,625,0.005,Sixth Man of the Year,2014,NickYoung
"Andersen,Chris",0.0,2.0,625,0.003,Sixth Man of the Year,2014,ChrisAndersen
"Belinelli,Marco",0.0,2.0,625,0.003,Sixth Man of the Year,2014,MarcoBelinelli
"Blatche,Andray",0.0,1.0,625,0.002,Sixth Man of the Year,2014,AndrayBlatche
"Hardaway,Tim",0.0,1.0,625,0.002,Sixth Man of the Year,2014,TimHardaway
"Mills,Patty",0.0,1.0,625,0.002,Sixth Man of the Year,2014,PattyMills
"Mozgov,Timofey",0.0,1.0,625,0.002,Sixth Man of the Year,2014,TimofeyMozgov
"Vásquez,Greivis",0.0,1.0,625,0.002,Sixth Man of the Year,2014,GreivisVasquez
"Williams,Mo",0.0,1.0,625,0.002,Sixth Man of the Year,2014,MoWilliams
"Dragić,Goran",65.0,408.0,630,0.648,Most Improved Player,2014,GoranDragic
"Stephenson,Lance",13.0,158.0,630,0.251,Most Improved Player,2014,LanceStephenson
"Davis,Anthony",16.0,155.0,630,0.246,Most Improved Player,2014,AnthonyDavis
"Green,Gerald",16.0,117.0,630,0.186,Most Improved Player,2014,GeraldGreen
"Jordan,DeAndre",4.0,66.0,630,0.105,Most Improved Player,2014,DeAndreJordan
"Lowry,Kyle",2.0,43.0,630,0.068,Most Improved Player,2014,KyleLowry
"Griffin,Blake",6.0,39.0,630,0.062,Most Improved Player,2014,BlakeGriffin
"DeRozan,DeMar",1.0,28.0,630,0.044,Most Improved Player,2014,DeMarDeRozan
"Mills,Patty",0.0,14.0,630,0.022,Most Improved Player,2014,PattyMills
"Morris,Markieff",1.0,13.0,630,0.021,Most Improved Player,2014,MarkieffMorris
"Thomas,Isaiah",0.0,13.0,630,0.021,Most Improved Player,2014,IsaiahThomas
"Livingston,Shaun",0.0,11.0,630,0.017,Most Improved Player,2014,ShaunLivingston
"Augustin,D.J.",1.0,9.0,630,0.014,Most Improved Player,2014,DJAugustin
"Jackson,Reggie",0.0,8.0,630,0.013,Most Improved Player,2014,ReggieJackson
"Lopez,Robin",0.0,6.0,630,0.010,Most Improved Player,2014,RobinLopez
"Thompson,Klay",0.0,6.0,630,0.010,Most Improved Player,2014,KlayThompson
"Durant,Kevin",1.0,5.0,630,0.008,Most Improved Player,2014,KevinDurant
"Cousins,DeMarcus",0.0,5.0,630,0.008,Most Improved Player,2014,DeMarcusCousins
"Jefferson,Al",0.0,4.0,630,0.006,Most Improved Player,2014,AlJefferson
"Beal,Bradley",0.0,3.0,630,0.005,Most Improved Player,2014,BradleyBeal
"Conley,Mike",0.0,3.0,630,0.005,Most Improved Player,2014,MikeConley
"Drummond,Andre",0.0,3.0,630,0.005,Most Improved Player,2014,AndreDrummond
"Gibson,Taj",0.0,3.0,630,0.005,Most Improved Player,2014,TajGibson
"James,LeBron",0.0,3.0,630,0.005,Most Improved Player,2014,LeBronJames
"Jones,Terrence",0.0,3.0,630,0.005,Most Improved Player,2014,TerrenceJones
"Meeks,Jodie",0.0,3.0,630,0.005,Most Improved Player,2014,JodieMeeks
"Aldridge,LaMarcus",0.0,1.0,630,0.002,Most Improved Player,2014,LaMarcusAldridge
"Burks,Alec",0.0,1.0,630,0.002,Most Improved Player,2014,AlecBurks
"Millsap,Paul",0.0,1.0,630,0.002,Most Improved Player,2014,PaulMillsap
"Parsons,Chandler",0.0,1.0,630,0.002,Most Improved Player,2014,ChandlerParsons
"Wall,John",0.0,1.0,630,0.002,Most Improved Player,2014,JohnWall
"Curry,Stephen",100.0,1198.0,1300,0.922,Most Valuable Player,2015,StephenCurry
"Harden,James",25.0,936.0,1300,0.720,Most Valuable Player,2015,JamesHarden
"James,LeBron",5.0,552.0,1300,0.425,Most Valuable Player,2015,LeBronJames
"Westbrook,Russell",0.0,352.0,1300,0.271,Most Valuable Player,2015,RussellWestbrook
"Davis,Anthony",0.0,203.0,1300,0.156,Most Valuable Player,2015,AnthonyDavis
"Paul,Chris",0.0,124.0,1300,0.095,Most Valuable Player,2015,ChrisPaul
"Aldridge,LaMarcus",0.0,6.0,1300,0.005,Most Valuable Player,2015,LaMarcusAldridge
"Gasol,Marc",0.0,3.0,1300,0.002,Most Valuable Player,2015,MarcGasol
"Griffin,Blake",0.0,3.0,1300,0.002,Most Valuable Player,2015,BlakeGriffin
"Duncan,Tim",0.0,1.0,1300,0.001,Most Valuable Player,2015,TimDuncan
"Leonard,Kawhi",0.0,1.0,1300,0.001,Most Valuable Player,2015,KawhiLeonard
"Thompson,Klay",0.0,1.0,1300,0.001,Most Valuable Player,2015,KlayThompson
"Wiggins,Andrew",110.0,604.0,650,0.929,Rookie of the Year,2015,AndrewWiggins
"Mirotić,Nikola",14.0,335.0,650,0.515,Rookie of the Year,2015,NikolaMirotic
"Noel,Nerlens",3.0,141.0,650,0.217,Rookie of the Year,2015,NerlensNoel
"Payton,Elfrid",3.0,79.0,650,0.122,Rookie of the Year,2015,ElfridPayton
"Smart,Marcus",0.0,6.0,650,0.009,Rookie of the Year,2015,MarcusSmart
"Nurkić,Jusuf",0.0,3.0,650,0.005,Rookie of the Year,2015,JusufNurkic
"Clarkson,Jordan",0.0,2.0,650,0.003,Rookie of the Year,2015,JordanClarkson
"Leonard,Kawhi",37.0,333.0,645,0.516,Defensive Player of the Year,2015,KawhiLeonard
"Green,Draymond",45.0,317.0,645,0.491,Defensive Player of the Year,2015,DraymondGreen
"Jordan,DeAndre",32.0,261.0,645,0.405,Defensive Player of the Year,2015,DeAndreJordan
"Davis,Anthony",11.0,107.0,645,0.166,Defensive Player of the Year,2015,AnthonyDavis
"Gobert,Rudy",2.0,33.0,645,0.051,Defensive Player of the Year,2015,RudyGobert
"Bogut,Andrew",0.0,31.0,645,0.048,Defensive Player of the Year,2015,AndrewBogut
"Allen,Tony",1.0,29.0,645,0.045,Defensive Player of the Year,2015,TonyAllen
"Duncan,Tim",1.0,12.0,645,0.019,Defensive Player of the Year,2015,TimDuncan
"Kidd-Gilchrist,Michael",0.0,9.0,645,0.014,Defensive Player of the Year,2015,MichaelKiddGilchrist
"Butler,Jimmy",0.0,7.0,645,0.011,Defensive Player of the Year,2015,JimmyButler
"Gasol,Marc",0.0,7.0,645,0.011,Defensive Player of the Year,2015,MarcGasol
"Noah,Joakim",0.0,4.0,645,0.006,Defensive Player of the Year,2015,JoakimNoah
"Ariza,Trevor",0.0,3.0,645,0.005,Defensive Player of the Year,2015,TrevorAriza
"James,LeBron",0.0,3.0,645,0.005,Defensive Player of the Year,2015,LeBronJames
"Beverley,Patrick",0.0,1.0,645,0.002,Defensive Player of the Year,2015,PatrickBeverley
"Carroll,DeMarre",0.0,1.0,645,0.002,Defensive Player of the Year,2015,DeMarreCarroll
"Noel,Nerlens",0.0,1.0,645,0.002,Defensive Player of the Year,2015,NerlensNoel
"Paul,Chris",0.0,1.0,645,0.002,Defensive Player of the Year,2015,ChrisPaul
"Whiteside,Hassan",0.0,1.0,645,0.002,Defensive Player of the Year,2015,HassanWhiteside
"Williams,Lou",78.0,502.0,650,0.772,Sixth Man of the Year,2015,LouWilliams
"Thomas,Isaiah",33.0,324.0,650,0.498,Sixth Man of the Year,2015,IsaiahThomas
"Crawford,Jamal",8.0,131.0,650,0.202,Sixth Man of the Year,2015,JamalCrawford
"Iguodala,Andre",7.0,100.0,650,0.154,Sixth Man of the Year,2015,AndreIguodala
"Thompson,Tristan",0.0,33.0,650,0.051,Sixth Man of the Year,2015,TristanThompson
"Mirotić,Nikola",1.0,24.0,650,0.037,Sixth Man of the Year,2015,NikolaMirotic
"Speights,Marreese",1.0,20.0,650,0.031,Sixth Man of the Year,2015,MarreeseSpeights
"Brewer,Corey",1.0,12.0,650,0.018,Sixth Man of the Year,2015,CoreyBrewer
"Ginóbili,Manu",0.0,12.0,650,0.018,Sixth Man of the Year,2015,ManuGinobili
"Gibson,Taj",1.0,8.0,650,0.012,Sixth Man of the Year,2015,TajGibson
"Brooks,Aaron",0.0,1.0,650,0.002,Sixth Man of the Year,2015,AaronBrooks
"Kaman,Chris",0.0,1.0,650,0.002,Sixth Man of the Year,2015,ChrisKaman
"Morrow,Anthony",0.0,1.0,650,0.002,Sixth Man of the Year,2015,AnthonyMorrow
"Schröder,Dennis",0.0,1.0,650,0.002,Sixth Man of the Year,2015,DennisSchroder
"Butler,Jimmy",92.0,535.0,645,0.829,Most Improved Player,2015,JimmyButler
"Green,Draymond",11.0,200.0,645,0.310,Most Improved Player,2015,DraymondGreen
"Gobert,Rudy",12.0,189.0,645,0.293,Most Improved Player,2015,RudyGobert
"Whiteside,Hassan",5.0,88.0,645,0.136,Most Improved Player,2015,HassanWhiteside
"Thompson,Klay",2.0,42.0,645,0.065,Most Improved Player,2015,KlayThompson
"Davis,Anthony",4.0,27.0,645,0.042,Most Improved Player,2015,AnthonyDavis
"Antetokounmpo,Giannis",1.0,22.0,645,0.034,Most Improved Player,2015,GiannisAntetokounmpo
"Motiejūnas,Donatas",0.0,7.0,645,0.011,Most Improved Player,2015,DonatasMotiejunas
"Schröder,Dennis",0.0,6.0,645,0.009,Most Improved Player,2015,DennisSchroder
"Carroll,DeMarre",1.0,5.0,645,0.008,Most Improved Player,2015,DeMarreCarroll
"Zeller,Tyler",1.0,5.0,645,0.008,Most Improved Player,2015,TylerZeller
"Cousins,DeMarcus",0.0,4.0,645,0.006,Most Improved Player,2015,DeMarcusCousins
"Middleton,Khris",0.0,4.0,645,0.006,Most Improved Player,2015,KhrisMiddleton
"Crowder,Jae",0.0,3.0,645,0.005,Most Improved Player,2015,JaeCrowder
"Irving,Kyrie",0.0,3.0,645,0.005,Most Improved Player,2015,KyrieIrving
"Jordan,DeAndre",0.0,3.0,645,0.005,Most Improved Player,2015,DeAndreJordan
"Oladipo,Victor",0.0,3.0,645,0.005,Most Improved Player,2015,VictorOladipo
"Caldwell-Pope,Kentavious",0.0,2.0,645,0.003,Most Improved Player,2015,KentaviousCaldwellPope
"Vučević,Nikola",0.0,2.0,645,0.003,Most Improved Player,2015,NikolaVucevic
"Covington,Robert",0.0,1.0,645,0.002,Most Improved Player,2015,RobertCovington
"Evans,Tyreke",0.0,1.0,645,0.002,Most Improved Player,2015,TyrekeEvans
"Favors,Derrick",0.0,1.0,645,0.002,Most Improved Player,2015,DerrickFavors
"Gasol,Marc",0.0,1.0,645,0.002,Most Improved Player,2015,MarcGasol
"Harris,Tobias",0.0,1.0,645,0.002,Most Improved Player,2015,TobiasHarris
"Hayward,Gordon",0.0,1.0,645,0.002,Most Improved Player,2015,GordonHayward
"Hill,George",0.0,1.0,645,0.002,Most Improved Player,2015,GeorgeHill
"Kanter,Enes",0.0,1.0,645,0.002,Most Improved Player,2015,EnesKanter
"Knight,Brandon",0.0,1.0,645,0.002,Most Improved Player,2015,BrandonKnight
"Leonard,Kawhi",0.0,1.0,645,0.002,Most Improved Player,2015,KawhiLeonard
"Leonard,Meyers",0.0,1.0,645,0.002,Most Improved Player,2015,MeyersLeonard
"Curry,Stephen",131.0,1310.0,1310,1.000,Most Valuable Player,2016,StephenCurry
"Leonard,Kawhi",0.0,634.0,1310,0.484,Most Valuable Player,2016,KawhiLeonard
"James,LeBron",0.0,631.0,1310,0.482,Most Valuable Player,2016,LeBronJames
"Westbrook,Russell",0.0,486.0,1310,0.371,Most Valuable Player,2016,RussellWestbrook
"Durant,Kevin",0.0,147.0,1310,0.112,Most Valuable Player,2016,KevinDurant
"Paul,Chris",0.0,107.0,1310,0.082,Most Valuable Player,2016,ChrisPaul
"Green,Draymond",0.0,50.0,1310,0.038,Most Valuable Player,2016,DraymondGreen
"Lillard,Damian",0.0,26.0,1310,0.020,Most Valuable Player,2016,DamianLillard
"Harden,James",0.0,9.0,1310,0.007,Most Valuable Player,2016,JamesHarden
"Lowry,Kyle",0.0,6.0,1310,0.005,Most Valuable Player,2016,KyleLowry
"Towns,Karl-Anthony",130.0,650.0,650,1.000,Rookie of the Year,2016,KarlAnthonyTowns
"Porziņģis,Kristaps",0.0,363.0,650,0.558,Rookie of the Year,2016,KristapsPorzingis
"Jokić,Nikola",0.0,59.0,650,0.091,Rookie of the Year,2016,NikolaJokic
"Booker,Devin",0.0,49.0,650,0.075,Rookie of the Year,2016,DevinBooker
"Okafor,Jahlil",0.0,34.0,650,0.052,Rookie of the Year,2016,JahlilOkafor
"Winslow,Justise",0.0,7.0,650,0.011,Rookie of the Year,2016,JustiseWinslow
"Mudiay,Emmanuel",0.0,4.0,650,0.006,Rookie of the Year,2016,EmmanuelMudiay
"Turner,Myles",0.0,3.0,650,0.005,Rookie of the Year,2016,MylesTurner
"Russell,D'Angelo",0.0,1.0,650,0.002,Rookie of the Year,2016,DAngeloRussell
"Leonard,Kawhi",84.0,547.0,650,0.842,Defensive Player of the Year,2016,KawhiLeonard
"Green,Draymond",44.0,421.0,650,0.648,Defensive Player of the Year,2016,DraymondGreen
"Whiteside,Hassan",2.0,83.0,650,0.128,Defensive Player of the Year,2016,HassanWhiteside
"Jordan,DeAndre",0.0,50.0,650,0.077,Defensive Player of the Year,2016,DeAndreJordan
"Millsap,Paul",0.0,21.0,650,0.032,Defensive Player of the Year,2016,PaulMillsap
"Bradley,Avery",0.0,14.0,650,0.022,Defensive Player of the Year,2016,AveryBradley
"Gobert,Rudy",0.0,13.0,650,0.020,Defensive Player of the Year,2016,RudyGobert
"Allen,Tony",0.0,5.0,650,0.008,Defensive Player of the Year,2016,TonyAllen
"Davis,Anthony",0.0,4.0,650,0.006,Defensive Player of the Year,2016,AnthonyDavis
"Drummond,Andre",0.0,3.0,650,0.005,Defensive Player of the Year,2016,AndreDrummond
"Butler,Jimmy",0.0,2.0,650,0.003,Defensive Player of the Year,2016,JimmyButler
"James,LeBron",0.0,2.0,650,0.003,Defensive Player of the Year,2016,LeBronJames
"Ariza,Trevor",0.0,1.0,650,0.002,Defensive Player of the Year,2016,TrevorAriza
"Crowder,Jae",0.0,1.0,650,0.002,Defensive Player of the Year,2016,JaeCrowder
"Horford,Al",0.0,1.0,650,0.002,Defensive Player of the Year,2016,AlHorford
"Lowry,Kyle",0.0,1.0,650,0.002,Defensive Player of the Year,2016,KyleLowry
"Paul,Chris",0.0,1.0,650,0.002,Defensive Player of the Year,2016,ChrisPaul
"Crawford,Jamal",51.0,341.0,650,0.525,Sixth Man of the Year,2016,JamalCrawford
"Iguodala,Andre",33.0,288.0,650,0.443,Sixth Man of the Year,2016,AndreIguodala
"Kanter,Enes",19.0,182.0,650,0.280,Sixth Man of the Year,2016,EnesKanter
"Barton,Will",15.0,158.0,650,0.243,Sixth Man of the Year,2016,WillBarton
"Turner,Evan",3.0,46.0,650,0.071,Sixth Man of the Year,2016,EvanTurner
"Anderson,Ryan",4.0,43.0,650,0.066,Sixth Man of the Year,2016,RyanAnderson
"Lin,Jeremy",1.0,30.0,650,0.046,Sixth Man of the Year,2016,JeremyLin
"Davis,Ed",1.0,21.0,650,0.032,Sixth Man of the Year,2016,EdDavis
"Schröder,Dennis",1.0,17.0,650,0.026,Sixth Man of the Year,2016,DennisSchroder
"Thompson,Tristan",2.0,16.0,650,0.025,Sixth Man of the Year,2016,TristanThompson
"Livingston,Shaun",0.0,7.0,650,0.011,Sixth Man of the Year,2016,ShaunLivingston
"Barea,J.J.",0.0,5.0,650,0.008,Sixth Man of the Year,2016,JJBarea
"Diaw,Boris",0.0,5.0,650,0.008,Sixth Man of the Year,2016,BorisDiaw
"LaVine,Zach",0.0,4.0,650,0.006,Sixth Man of the Year,2016,ZachLaVine
"Collison,Darren",0.0,3.0,650,0.005,Sixth Man of the Year,2016,DarrenCollison
"Crabbe,Allen",0.0,1.0,650,0.002,Sixth Man of the Year,2016,AllenCrabbe
"Holiday,Jrue",0.0,1.0,650,0.002,Sixth Man of the Year,2016,ueHoliday
"Patterson,Patrick",0.0,1.0,650,0.002,Sixth Man of the Year,2016,PatrickPatterson
"Teletović,Mirza",0.0,1.0,650,0.002,Sixth Man of the Year,2016,MirzaTeletovic
"McCollum,CJ",101.0,559.0,650,0.860,Most Improved Player,2016,CJMcCollum
"Walker,Kemba",7.0,166.0,650,0.255,Most Improved Player,2016,KembaWalker
"Antetokounmpo,Giannis",4.0,99.0,650,0.152,Most Improved Player,2016,GiannisAntetokounmpo
"Curry,Stephen",7.0,83.0,650,0.128,Most Improved Player,2016,StephenCurry
"Barton,Will",1.0,62.0,650,0.095,Most Improved Player,2016,WillBarton
"Crowder,Jae",1.0,45.0,650,0.069,Most Improved Player,2016,JaeCrowder
"Green,Draymond",2.0,43.0,650,0.066,Most Improved Player,2016,DraymondGreen
"Thomas,Isaiah",3.0,30.0,650,0.046,Most Improved Player,2016,IsaiahThomas
"Whiteside,Hassan",1.0,26.0,650,0.040,Most Improved Player,2016,HassanWhiteside
"Leonard,Kawhi",1.0,18.0,650,0.028,Most Improved Player,2016,KawhiLeonard
"Drummond,Andre",1.0,11.0,650,0.017,Most Improved Player,2016,AndreDrummond
"Harris,Gary",1.0,6.0,650,0.009,Most Improved Player,2016,GaryHarris
"Bazemore,Kent",0.0,4.0,650,0.006,Most Improved Player,2016,KentBazemore
"Fournier,Evan",0.0,4.0,650,0.006,Most Improved Player,2016,EvanFournier
"Hood,Rodney",0.0,3.0,650,0.005,Most Improved Player,2016,RodneyHood
"Jackson,Reggie",0.0,3.0,650,0.005,Most Improved Player,2016,ReggieJackson
"Mahinmi,Ian",0.0,3.0,650,0.005,Most Improved Player,2016,IanMahinmi
"Westbrook,Russell",0.0,3.0,650,0.005,Most Improved Player,2016,RussellWestbrook
"LaVine,Zach",0.0,1.0,650,0.002,Most Improved Player,2016,ZachLaVine
"Lowry,Kyle",0.0,1.0,650,0.002,Most Improved Player,2016,KyleLowry
